Country;Fresh surface water withdrawal (%);Fresh groundwater withdrawal (%);Desalinated water produced (%);Direct use of treated municipal wastewater (%);Direct use of agricultural drainage water (%);Total water withdrawal (%)
Algeria;16,2071926;77,29657541;6,019269293;0,476962702;;100
Bahrain;;35,55708391;55,45621275;8,986703347;;100
Djibouti;5,208333333;93,75;0,520833333;0,520833333;;100
Egypt;;32,82828283;1,01010101;6,060606061;60,1010101;100
Iran (Islamic Republic of);42,78046162;57,00483092;0,214707461;;;100
Iraq;;;58,33333333;41,66666667;;100
Israel;15,53819444;36,45833333;25,43402778;22,56944444;;100
Jordan;27,66018581;58,88324873;13,05430514;0,40226032;;100
Kuwait;;60,71907277;33,13096271;6,149964519;;100
Lebanon;34,65308474;61,25545282;2,503572752;0,105859313;1,482030382;100
Libya;2,936096718;95,85492228;1,208981002;;;100
Morocco;77,4741784;21,8028169;0,0657277;0,657276995;;100
Oman;5,037037037;75,65432099;16,2962963;3,012345679;;100
Qatar;;24,13394919;58,21785989;12,83679754;4,81139338;100
Saudi Arabia;0,803926547;88,89735127;9,223999323;1,074722857;;100
Syrian Arab Republic;;;;19,67095851;80,32904149;100
Tunisia;34,99337972;62,81174848;1,128205128;0,861538462;0,205128205;100
United Arab Emirates;;50,37159372;38,83056113;10,79784515;;100
Yemen;28,91442581;70,2207484;0,697978365;0,166847418;;100